Test_numbers 	  MTDP 	        QMTDP 	Gap(%)  my solution 	Gap(%)  	
2DU60-05-1	: 5305.57 	5306 	0.01 	5330.88 	0.477046	
2DU60-05-2	: 5451.68 	5463 	0.21 	5525.28 	1.35004	
2DU60-05-3	: 5507.88 	5553 	0.82 	5510.37 	0.045208	
2DU60-05-4	: 5935.67 	6114 	3 	6145.01 	3.52681	
2DU60-05-5	: 5303.2 	5303.2 	0 	5431.6 		2.42118	
2DU60-05-6	: 5253.94 	5280 	0.5 	5261.36 	0.141227	
2DU60-05-7	: 5460.18 	5855 	7.23 	5825.87 	6.6974	
2DU60-05-8	: 5309.96 	5314 	0.08 	5328.31 	0.345577	
2DU60-05-9	: 5224.51 	5225 	0.01 	5416.71 	3.67881	
2DU60-05-10	: 5350.15 	6140 	14.76 	5350.15 	0	
2DU60-05-11	: 5150.91 	5152 	0.02 	5856.85 	13.7052	
2DU60-05-12	: 5597.5 	5705 	1.92 	5770.39 	3.0887	
2DU60-05-13	: 5731.99 	5732 	0 	5901.91 	2.96442	
2DU60-05-14	: 5462.96 	5869 	7.43 	5640.53 	3.25044	
2DU60-05-15	: 5332.77 	5759 	7.99 	5780.03 	8.38701	
2DU60-05-16	: 5399.54 	5499 	1.84 	5566.39 	3.09008	
2DU60-05-17	: 5602.86 	5603 	0 	5917.44 	5.61463	
2DU60-05-18	: 5773.96 	6299 	9.09 	5838.48 	1.11743	
2DU60-05-19	: 5543.45 	5544 	0.01 	5589.42 	0.829267	
2DU60-05-20	: 5767.54 	5768 	0.01 	6250.63 	8.37601	
